    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    7    8        17   16        1.22127        144.756        148.335          -10.903          -11.177         0.14142E+00    0.14142E+00    0
    8    9        18   17        1.51712        132.415        137.335          -10.984          -11.283         0.14142E+00    0.15509E+00    1
    9   10        19   18        1.58123        118.904        124.722          -11.113          -11.428         0.14142E+00    0.17382E+00    1
   10   11        20   19        1.64904        103.483        109.555          -11.317          -11.669         0.14142E+00    0.18596E+00    1
   11   12        21   20        1.66764         89.126         94.566          -11.559          -11.984         0.14142E+00    0.18850E+00    1
   12   13        22   21        1.64835         75.727         79.672          -11.898          -12.318         0.14142E+00    0.17555E+00    1
   13   14        23   22        1.68658         62.975         65.579          -12.328          -12.615         0.14142E+00    0.15499E+00    1
   14   15        24   23        1.42044         53.427         55.029          -12.778          -12.608         0.14142E+00    0.14419E+00    1
    1    2        12   11        0.23540        194.321        193.251          -10.798          -10.841         0.14142E+00    0.15321E+00    1
    2    3        13   12        0.21914        181.882        180.872          -10.917          -11.119         0.14142E+00    0.15943E+00    1
    3    4        14   13        0.06896        169.098        168.832          -11.018          -11.276         0.14142E+00    0.15191E+00    1
    4    5        15   14        0.33347        156.773        157.821          -11.103          -11.344         0.14142E+00    0.14142E+00    0
    5    6        16   15        0.86353        144.095        146.605          -11.197          -11.423         0.14142E+00    0.14142E+00    0
    6    7        17   16        1.48932        128.444        132.558          -11.332          -11.544         0.14142E+00    0.14551E+00    1
    7    8        18   17        1.83595        115.553        121.186          -11.445          -11.656         0.14142E+00    0.16102E+00    1
    8    9        19   18        1.89923        101.850        108.439          -11.613          -11.822         0.14142E+00    0.18167E+00    1
    9   10        20   19        1.94434         88.276         95.218          -11.839          -12.052         0.14142E+00    0.19733E+00    1
   10   11        21   20        1.92471         74.803         80.974          -12.139          -12.363         0.14142E+00    0.20294E+00    1
   11   12        22   21        1.89914         62.541         67.050          -12.571          -12.752         0.14142E+00    0.19146E+00    1
   12   13        23   22        1.92072         51.477         54.316          -13.116          -13.098         0.14142E+00    0.16718E+00    1
   13   14        24   23        1.58106         43.060         44.735          -13.681          -13.096         0.14142E+00    0.15536E+00    1
    1    2        13   12        0.10468        170.636        170.178          -11.201          -11.120         0.14142E+00    0.16027E+00    1
    2    3        14   13        0.00746        157.908        157.936          -11.339          -11.415         0.14142E+00    0.16188E+00    1
    3    4        15   14        0.43430        143.934        145.368          -11.484          -11.615         0.14142E+00    0.15112E+00    1
    4    5        16   15        1.05007        131.807        134.604          -11.621          -11.764         0.14142E+00    0.14142E+00    0
    5    6        17   16        1.58524        116.006        120.303          -11.825          -11.914         0.14142E+00    0.15148E+00    1
    6    7        18   17        1.96427        103.103        108.920          -11.988          -12.053         0.14142E+00    0.16716E+00    1
    7    8        19   18        2.27948         89.614         96.480          -12.207          -12.228         0.14142E+00    0.17996E+00    1
    8    9        20   19        2.31541         76.427         83.819          -12.491          -12.482         0.14142E+00    0.19969E+00    1
    9   10        21   20        2.23923         64.728         71.368          -12.829          -12.782         0.14142E+00    0.20883E+00    1
   10   11        22   21        2.17386         53.692         58.516          -13.346          -13.162         0.14142E+00    0.19894E+00    1
   11   12        23   22        2.08079         43.935         46.870          -13.999          -13.549         0.14142E+00    0.17627E+00    1
   12   13        24   23        1.61450         36.596         38.189          -14.662          -13.568         0.14142E+00    0.16245E+00    1
    1    3         7    5        0.09034        253.323        252.871           -9.957          -10.269         0.14142E+00    0.14142E+00    0
    2    4         8    6        0.10356        250.314        249.802           -9.958          -10.285         0.14142E+00    0.14142E+00    0
    3    5         9    7        0.06074        250.369        250.071           -9.960          -10.205         0.14142E+00    0.14142E+00    0
    4    6        10    8        0.05486        251.907        251.632           -9.964          -10.084         0.14142E+00    0.14142E+00    0
    5    7        11    9        0.07007        249.783        249.433           -9.969           -9.956         0.14142E+00    0.14142E+00    0
    6    8        12   10        0.08786        250.631        250.192           -9.974           -9.848         0.14142E+00    0.14142E+00    0
    7    9        13   11        0.11803        251.661        251.070           -9.976           -9.772         0.14142E+00    0.14142E+00    0
    8   10        14   12        0.12428        254.514        253.886           -9.970           -9.699         0.14142E+00    0.14142E+00    0
    9   11        15   13        0.03413        251.408        251.257           -9.963           -9.639         0.14142E+00    0.14142E+00    0
   10   12        16   14        0.05915        250.463        250.748           -9.968           -9.625         0.14142E+00    0.14142E+00    0
   11   13        17   15        0.06113        251.689        251.985           -9.986           -9.647         0.14142E+00    0.14142E+00    0
   12   14        18   16        0.09396        246.290        246.747          -10.001           -9.680         0.14142E+00    0.14142E+00    0
   13   15        19   17        0.13130        245.319        245.961          -10.004           -9.722         0.14142E+00    0.14142E+00    0
