    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   46   26        50   39        0.23692          2.490          2.525           -3.933           -3.874         0.22361E+00    0.23994E+00    1
   47   28        50   39        0.44190          2.452          2.518           -3.783           -3.868         0.22361E+00    0.24524E+00    1
   45   24        50   42        1.04190          1.707          1.837           -5.221           -4.909         0.22361E+00    0.26568E+00    1
   43   23        52   26        0.24398         16.090         15.895           -2.509           -2.580         0.22361E+00    0.22361E+00    0
   45   24        52   26        0.53216         16.137         16.572           -2.558           -2.562         0.22361E+00    0.22361E+00    0
   43   23        52   28        1.09109         13.745         13.015           -2.577           -2.632         0.22361E+00    0.22361E+00    0
   45   24        52   28        0.04181         12.949         12.922           -2.573           -2.613         0.22361E+00    0.22361E+00    0
   46   26        52   28        0.14769         15.883         15.766           -2.516           -2.553         0.22361E+00    0.22361E+00    0
   43   23        52   29        1.53337         13.009         11.904           -2.575           -2.664         0.22361E+00    0.24065E+00    1
   45   24        52   29        0.27935         11.248         11.406           -2.691           -2.642         0.22361E+00    0.22361E+00    0
   46   26        52   29        1.30627         12.899         13.770           -2.594           -2.570         0.22361E+00    0.22361E+00    0
   43   23        52   30        0.05625         11.077         11.108           -2.666           -2.716         0.22361E+00    0.22361E+00    0
   45   24        52   30        0.86691         10.638         10.187           -2.565           -2.691         0.22361E+00    0.22361E+00    0
   46   26        52   30        0.34535         12.389         12.177           -2.514           -2.607         0.22361E+00    0.22361E+00    0
   47   28        52   30        1.89251         18.060         15.649           -2.477           -2.531         0.22361E+00    0.27518E+00    1
   43   23        52   31        0.51211         10.218         10.483           -2.802           -2.780         0.22361E+00    0.22361E+00    0
   45   24        52   31        0.92930          8.746          9.162           -2.779           -2.751         0.22361E+00    0.22361E+00    0
   46   26        52   31        1.57361          9.868         10.846           -2.601           -2.651         0.22361E+00    0.24506E+00    1
   47   28        52   31        0.32807         13.631         13.857           -2.499           -2.562         0.22361E+00    0.22361E+00    0
   49   29        52   31        0.93959         13.505         12.885           -2.593           -2.575         0.22361E+00    0.22361E+00    0
   43   23        52   32        0.18588          9.837          9.929           -2.868           -2.858         0.22361E+00    0.22361E+00    0
   45   24        52   32        0.15192          8.185          8.247           -2.782           -2.825         0.22361E+00    0.22361E+00    0
   46   26        52   32        0.52606          9.421          9.672           -2.758           -2.706         0.22361E+00    0.22361E+00    0
   47   28        52   32        0.14776         12.341         12.250           -2.481           -2.604         0.22361E+00    0.22361E+00    0
   49   29        52   32        1.69261          9.308         10.424           -2.614           -2.645         0.22361E+00    0.25866E+00    1
   50   30        52   32        0.18669         15.206         15.065           -2.499           -2.562         0.22361E+00    0.22361E+00    0
   43   23        52   33        0.31983          9.493          9.342           -2.953           -2.951         0.22361E+00    0.22361E+00    0
   45   24        52   33        0.60481          7.580          7.354           -2.873           -2.913         0.22361E+00    0.22361E+00    0
   46   26        52   33        1.49495          7.816          8.522           -2.854           -2.773         0.22361E+00    0.24055E+00    1
   47   28        52   33        1.07615         11.225         10.637           -2.747           -2.655         0.22361E+00    0.22361E+00    0
   49   29        52   33        0.86494          8.674          8.307           -2.671           -2.733         0.22361E+00    0.22361E+00    0
   50   30        52   33        1.28914         12.750         13.739           -2.511           -2.599         0.22361E+00    0.24067E+00    1
   43   23        52   35        0.16211          8.173          8.240           -3.152           -3.172         0.22361E+00    0.22361E+00    0
   45   24        52   35        0.57511          6.042          5.871           -3.085           -3.130         0.22361E+00    0.22361E+00    0
   46   26        52   35        0.05327          6.578          6.596           -2.955           -2.947         0.22361E+00    0.22361E+00    0
   47   28        52   35        0.91938          7.544          7.898           -2.771           -2.799         0.22361E+00    0.22361E+00    0
   49   29        52   35        0.94873          5.601          5.341           -2.827           -2.990         0.22361E+00    0.22361E+00    0
   50   30        52   35        0.47306         11.928         12.214           -2.531           -2.654         0.22361E+00    0.22361E+00    0
   43   23        52   36        0.71989          7.451          7.724           -3.381           -3.296         0.22361E+00    0.22361E+00    0
   45   24        52   36        0.40491          5.158          5.264           -3.279           -3.255         0.22361E+00    0.22361E+00    0
   46   26        52   36        1.35669          5.394          5.795           -2.992           -3.055         0.22361E+00    0.22989E+00    1
   47   28        52   36        1.35296          6.278          6.746           -2.898           -2.896         0.22361E+00    0.23063E+00    1
   49   29        52   36        0.44009          4.203          4.304           -3.007           -3.164         0.22361E+00    0.23215E+00    1
