    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    7   11        49   53        0.45569        307.181        303.046           -9.700          -11.650         0.17321E+00    0.17321E+00    0
    6   10         5    9        0.40352        205.387        202.921          -10.500          -11.390         0.17321E+00    0.17321E+00    0
   10    6        12   16        0.60086        132.027        134.409           -6.100           -8.224         0.17321E+00    0.17321E+00    0
    6   10        50   54        0.06466        517.364        516.258          -11.200          -11.843         0.17321E+00    0.18561E+00    1
    6   10        51   55        0.33297        734.899        725.218          -11.600          -11.151         0.17321E+00    0.19965E+00    1
   12    8         5    9        0.06549        511.922        511.127           -9.300          -10.516         0.17321E+00    0.17321E+00    0
    8   12        50   54        0.03969        443.812        444.390           -9.700           -9.979         0.17321E+00    0.18330E+00    1
    8   12        51   55        0.32618        600.926        593.321          -10.000           -9.307         0.17321E+00    0.19780E+00    1
   14   10         5    9        0.38035        300.467        297.060           -9.200           -8.943         0.17321E+00    0.17321E+00    0
   10   14        51   55        0.49398        175.081        177.549          -15.400          -10.351         0.17321E+00    0.17321E+00    0
   15   11         5    9        0.75763        215.080        210.258          -10.700           -9.318         0.17321E+00    0.17321E+00    0
   15   11         6   10        0.36181        171.762        173.625           -7.300           -8.384         0.17321E+00    0.17321E+00    0
   16   12         5    9        0.42773        158.801        156.776           -9.300           -9.309         0.17321E+00    0.17321E+00    0
   12   16        51   55        1.44464        116.268        121.332          -19.300          -10.878         0.17321E+00    0.17321E+00    0
   17   13         5    9        0.05270        193.851        193.567           -8.800           -9.415         0.17321E+00    0.17321E+00    0
   17   13         6   10        0.58624        170.404        173.402           -6.100           -8.236         0.17321E+00    0.17321E+00    0
   13   17        51   55        0.71138        107.917        109.811          -24.200          -11.534         0.17321E+00    0.17321E+00    0
   18   14         5    9        0.16375        246.062        244.863           -8.700           -9.273         0.17321E+00    0.17321E+00    0
   18   14         6   10        0.35245        227.838        230.227           -6.400           -8.054         0.17321E+00    0.17321E+00    0
   19   15         5    9        0.47880        274.879        270.962           -8.300           -9.002         0.17321E+00    0.17321E+00    0
   19   15         6   10        0.17565        263.624        262.305           -6.100           -7.751         0.17321E+00    0.17321E+00    0
   20   16         5    9        0.72390        288.730        282.528           -7.900           -8.560         0.17321E+00    0.17321E+00    0
   20   16         6   10        0.51879        284.703        280.329           -5.600           -7.288         0.17321E+00    0.17321E+00    0
   21   17         5    9        0.51963        288.904        284.436           -7.500           -7.959         0.17321E+00    0.17321E+00    0
   21   17         6   10        0.42035        291.345        287.713           -5.300           -6.669         0.17321E+00    0.17321E+00    0
   21   17        51   55        0.53253       -220.276       -214.666            8.800            3.699         0.17321E+00    0.22234E+00    1
   22   18         5    9        0.21569        273.721        271.933           -7.100           -7.725         0.17321E+00    0.17464E+00    1
   22   18         6   10        0.21281        281.525        279.781           -4.900           -6.412         0.17321E+00    0.17321E+00    0
   23   19         5    9        0.20412        224.414        223.072           -6.500           -7.767         0.17321E+00    0.17321E+00    0
   23   19         6   10        0.19217        234.470        233.216           -4.300           -6.440         0.17321E+00    0.17321E+00    0
   24   20         5    9        0.55491        196.552        193.152           -7.500           -8.492         0.17321E+00    0.17742E+00    1
   24   20         6   10        0.60359        208.298        204.533           -5.200           -7.146         0.17321E+00    0.17428E+00    1
