    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        53   38        0.06601         14.710         14.758          -12.645          -12.509         0.22361E+00    0.22361E+00    0
   46   26        53   38        0.23228         17.056         17.255          -11.610          -12.026         0.22361E+00    0.22361E+00    0
   47   28        53   38        0.52269         22.197         21.624          -10.870          -10.922         0.22361E+00    0.22361E+00    0
   49   29        53   38        0.48016         13.217         13.538           -9.800          -10.880         0.22361E+00    0.22361E+00    0
   50   30        53   38        0.73230          9.879         10.247           -9.200          -10.799         0.22361E+00    0.22361E+00    0
   43   23        53   39        0.09399         20.021         19.927          -12.470          -12.488         0.22361E+00    0.22361E+00    0
   45   24        53   39        0.19384         13.964         13.830          -12.780          -12.678         0.22361E+00    0.22361E+00    0
   46   26        53   39        0.15549         16.253         16.128          -11.920          -12.247         0.22361E+00    0.22361E+00    0
   47   28        53   39        0.90028         21.195         20.262          -11.065          -11.188         0.22361E+00    0.22361E+00    0
   49   29        53   39        0.12917         12.223         12.301          -10.080          -11.220         0.22361E+00    0.22361E+00    0
   50   30        53   39        0.44932          9.034          9.238           -9.405          -11.194         0.22361E+00    0.22361E+00    0
   45   24        53   41        0.46794         11.559         11.832          -12.310          -13.115         0.22361E+00    0.22361E+00    0
   45   24        53   42        0.47578          9.442          9.668          -12.500          -13.795         0.22361E+00    0.22361E+00    0
   46   26        53   42        1.03111         10.141         10.709          -12.350          -13.705         0.22361E+00    0.22983E+00    1
   47   28        53   42        0.52540         12.725         13.062          -11.475          -12.973         0.22361E+00    0.22361E+00    0
   49   29        53   42        1.51489          6.537          7.152          -10.240          -13.492         0.22361E+00    0.24386E+00    1
   50   30        53   42        1.98711          4.604          5.266          -10.165          -13.792         0.22361E+00    0.26016E+00    1
