    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   12   14        24   22        0.19729        103.072        103.480          -15.347          -15.352         0.14142E+00    0.14142E+00    0
    1    3        15   13        0.58464         69.878         68.940          -13.438          -13.458         0.14142E+00    0.15211E+00    1
    2    4        16   14        0.76941         64.076         62.941          -13.380          -13.375         0.14142E+00    0.15243E+00    1
    3    5        17   15        0.68352         50.674         49.813          -13.167          -13.150         0.14142E+00    0.15826E+00    1
    4    6        18   16        0.68113         37.262         37.944          -12.817          -12.867         0.14142E+00    0.16321E+00    1
    5    7        19   17        1.15017         42.590         43.626          -13.555          -13.591         0.14142E+00    0.14455E+00    1
    6    8        20   18        0.77322         75.300         74.144          -14.924          -14.874         0.14142E+00    0.14142E+00    0
    7    9        21   19        1.04042        107.635        105.418          -15.497          -15.453         0.14142E+00    0.14142E+00    0
    8   10        22   20        0.19471        116.314        115.862          -15.607          -15.597         0.14142E+00    0.14142E+00    0
    9   11        23   21        0.47351        112.564        113.635          -15.561          -15.581         0.14142E+00    0.14142E+00    0
   10   12        24   22        0.51099        108.519        109.634          -15.504          -15.520         0.14142E+00    0.14142E+00    0
    1    3        17   15        0.33590         74.607         74.065          -13.654          -13.687         0.14142E+00    0.14741E+00    1
    2    4        18   16        0.71642         68.456         67.383          -13.636          -13.619         0.14142E+00    0.14852E+00    1
    3    5        19   17        0.83533         53.935         52.868          -13.452          -13.403         0.14142E+00    0.15470E+00    1
    4    6        20   18        0.60771         38.258         38.865          -13.040          -13.057         0.14142E+00    0.16095E+00    1
    5    7        21   19        1.22318         41.487         42.556          -13.653          -13.677         0.14142E+00    0.14426E+00    1
    6    8        22   20        0.90206         73.353         72.042          -15.043          -14.974         0.14142E+00    0.14142E+00    0
    7    9        23   21        1.22789        106.988        104.393          -15.608          -15.552         0.14142E+00    0.14142E+00    0
    8   10        24   22        0.45372        117.194        116.136          -15.683          -15.657         0.14142E+00    0.14142E+00    0
    1    3        19   17        0.05206         78.057         78.139          -13.916          -13.939         0.14142E+00    0.14142E+00    0
    2    4        20   18        0.67943         71.815         70.807          -13.909          -13.869         0.14142E+00    0.14427E+00    1
    3    5        21   19        1.22367         56.590         54.966          -13.706          -13.624         0.14142E+00    0.15422E+00    1
    4    6        22   20        0.25314         39.214         39.472          -13.211          -13.207         0.14142E+00    0.16090E+00    1
    5    7        23   21        1.24504         40.732         41.789          -13.690          -13.718         0.14142E+00    0.14342E+00    1
    6    8        24   22        1.20649         71.876         70.162          -15.061          -14.976         0.14142E+00    0.14142E+00    0
    1    3        21   19        0.05731         80.735         80.642          -14.141          -14.149         0.14142E+00    0.14142E+00    0
    2    4        22   20        0.99143         74.523         73.019          -14.086          -14.042         0.14142E+00    0.14344E+00    1
    3    5        23   21        1.66645         58.799         56.522          -13.826          -13.743         0.14142E+00    0.15396E+00    1
    4    6        24   22        0.33090         40.101         39.753          -13.256          -13.230         0.14142E+00    0.16232E+00    1
