    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        53   33        0.24620         21.723         21.458          -12.415          -11.383         0.22361E+00    0.22361E+00    0
   45   24        53   33        0.09605         18.250         18.335          -12.600          -11.331         0.22361E+00    0.22361E+00    0
   46   26        53   33        0.02684         20.037         20.062          -11.195          -10.693         0.22361E+00    0.22361E+00    0
   47   28        53   33        0.87035         24.343         23.307          -10.020           -9.532         0.22361E+00    0.22361E+00    0
   49   29        53   33        0.16443         18.009         17.862           -8.910           -9.106         0.22361E+00    0.22361E+00    0
   50   30        53   33        0.54223         14.558         14.169           -7.710           -8.732         0.22361E+00    0.22361E+00    0
   43   23        53   35        0.27488         22.207         21.905          -12.490          -11.628         0.22361E+00    0.22361E+00    0
   45   24        53   35        0.02985         17.433         17.416          -12.735          -11.621         0.22361E+00    0.22361E+00    0
   46   26        53   35        0.04475         19.805         19.763          -11.705          -11.105         0.22361E+00    0.22361E+00    0
   47   28        53   35        0.65697         25.072         24.262          -10.560          -10.046         0.22361E+00    0.22361E+00    0
   49   29        53   35        0.16386         16.881         17.020           -9.520           -9.703         0.22361E+00    0.22361E+00    0
   50   30        53   35        0.08801         13.192         13.249           -8.625           -9.422         0.22361E+00    0.22361E+00    0
   43   23        53   36        0.28426         21.825         21.517          -12.545          -11.725         0.22361E+00    0.22361E+00    0
   45   24        53   36        0.05693         16.560         16.517          -12.830          -11.738         0.22361E+00    0.22361E+00    0
   46   26        53   36        0.11218         19.032         18.926          -11.745          -11.274         0.22361E+00    0.22361E+00    0
   47   28        53   36        0.62233         24.382         23.636          -10.820          -10.256         0.22361E+00    0.22361E+00    0
   49   29        53   36        0.24262         15.701         15.892           -9.845           -9.947         0.22361E+00    0.22361E+00    0
   50   30        53   36        0.24565         12.068         12.217           -9.035           -9.702         0.22361E+00    0.22361E+00    0
   43   23        53   37        0.19134         21.248         21.046          -12.050          -11.801         0.22361E+00    0.22361E+00    0
   45   24        53   37        0.05092         15.583         15.620          -12.700          -11.832         0.22361E+00    0.22361E+00    0
   46   26        53   37        0.01471         18.034         18.021          -11.700          -11.416         0.22361E+00    0.22361E+00    0
   47   28        53   37        0.41510         23.297         22.818          -10.675          -10.434         0.22361E+00    0.22361E+00    0
   49   29        53   37        0.51818         14.380         14.758           -9.650          -10.156         0.22361E+00    0.22361E+00    0
   50   30        53   37        0.60465         10.888         11.222           -8.940           -9.941         0.22361E+00    0.22361E+00    0
   43   23        53   38        0.04542         20.564         20.519          -12.380          -11.858         0.22361E+00    0.22361E+00    0
   45   24        53   38        0.09141         14.710         14.776          -12.645          -11.906         0.22361E+00    0.22361E+00    0
   46   26        53   38        0.03796         17.056         17.088          -11.610          -11.534         0.22361E+00    0.22361E+00    0
   47   28        53   38        0.34248         22.197         21.820          -10.870          -10.586         0.22361E+00    0.22361E+00    0
   49   29        53   38        0.65202         13.217         13.655           -9.800          -10.336         0.22361E+00    0.22361E+00    0
   50   30        53   38        0.80950          9.879         10.287           -9.200          -10.150         0.22361E+00    0.22361E+00    0
   43   23        53   39        0.13049         20.021         19.891          -12.470          -11.920         0.22361E+00    0.22361E+00    0
   45   24        53   39        0.06686         13.964         13.919          -12.780          -11.988         0.22361E+00    0.22361E+00    0
   46   26        53   39        0.22821         16.253         16.069          -11.920          -11.664         0.22361E+00    0.22361E+00    0
   47   28        53   39        0.56630         21.195         20.603          -11.065          -10.754         0.22361E+00    0.22361E+00    0
   49   29        53   39        0.49090         12.223         12.527          -10.080          -10.534         0.22361E+00    0.22361E+00    0
   50   30        53   39        0.71043          9.034          9.360           -9.405          -10.376         0.22361E+00    0.22361E+00    0
   45   24        53   41        0.44128         11.559         11.817          -12.310          -12.233         0.22361E+00    0.22361E+00    0
   45   24        53   42        0.53233          9.442          9.696          -12.500          -12.534         0.22361E+00    0.22361E+00    0
   46   26        53   42        0.67729         10.141         10.544          -12.350          -12.525         0.22361E+00    0.23980E+00    1
   47   28        53   42        0.58194         12.725         13.100          -11.475          -11.887         0.22361E+00    0.22361E+00    0
   49   29        53   42        1.54636          6.537          7.279          -10.240          -11.834         0.22361E+00    0.26379E+00    1
   50   30        53   42        1.82126          4.604          5.310          -10.165          -11.854         0.22361E+00    0.27993E+00    1
